CaseFileReportId,Description,Amount,TransactionCategoryId,
17477,Assistive Technology,14.99,210,
16732,ANN CONRAD PN JUL 2015,180,214,
16732,CRESTVIEW APTS  JUL 2015 RENT,328,239,
16732,Bank of the West  AUG 2015  fee,3,183,
16732,Xcel Energy   JULY 2015,39.45,232,
17477,Transfer From,5,176,
15436,Augustana Mercy,1843.12,185,
16732,PROTECTIVE LIFE INS,141.4,207,
17477,Transfer From,200,176,
16732,ANN CONRAD,140.29,214,
17477,Transfer From,225,176,
16732,Kathie Rogich JUL 2015 GF,77,193,
16732,ANN CONRAD,180,214,
16732,ANN CONRAD,139.41,214,
16732,Acentek   JUN 2015,31.68,233,
16732,ANN CONRAD PN JUN  2015,180,214,
16732,DHS-MA-EPD JUN 2015   #8540,120,206,
17477,Bloomington Drug,21.07,210,
17477,Jerry Readmond,100,221,
16732,Bank of the West  JUL 2015  fee,2.5,183,
16732,CHARTERS        JUN  2015,49.31,233,
17477,Allina Health,100,210,
16732,Xcel Energy   JUNE 2015,36.54,232,
17477,Allina Health,65,210,
17477,Neurological Clinic,20,210,
17477,Cub,25.29,197,
17477,Pat Readmond,900,239,
16732,DBT MN DHS FEE,120,214,
17477,Nan's,30,221,
17477,NHSU,35,210,
16939,Perkins,30,196,
16732,ANN CONRAD,160.95,214,
16939,A-1 Movers,312.06,229,
16732,ANN CONRAD PN JUN  2015,200,214,
16732,CRESTVIEW APTS  JUN 2015 RENT,324,239,
16732,Kathie Rogich JUN 2015 GF,77,193,
16732,Acentek   MAY  2015,38.67,233,
16732,DHS-MA-EPD MAY 2015   #8540,120,206,
16732,ANN CONRAD,80,214,
16732,ANN CONRAD,160.97,214,
17477,Bloomington Drug,14,240,
16732,ANN CONRAD PN MAY  2015,200,214,
17477,Pat Readmond,82,193,
16732,Kathie Rogich MAY 2015  GF,77,193,
17477,Nan's,35,221,
17477,NHSU,35,210,
16732,CRESTVIEW APTS  MAY  RENT 2015,324,239,
17477,Bloomington Drug,14.1,240,
16732,Bank of the West  JUN 2015 FEE,2.5,183,
17477,Bloomington Drug,52.33,240,
16732,SHOPKO,17.99,214,
17477,Nan's,30,221,
16732,Xcel Energy   MAY  2015,29.87,232,
17477,Jerry Readmond,40,221,
16732,SHOPKO,4.8,214,
32566,"Allowance pre-determind,4-23-15,court order file,71-13-162",500,214,
17477,Nan's,40,221,
17477,Pat Readmond,35,240,
17477,Nan's,30,221,
16732,ANN CONRAD,160.95,214,
16732,ANN CONRAD PN MAY  2015,200,214,
17477,UCare Minnesota,161,206,
16732,ANN CONRAD,160.97,214,
16732,Acentek   APR   2014,30.25,233,
17477,OD Protection Fee,12.5,183,
17477,Assistive Technology,14.99,212,
16732,ANN CONRAD PN APR  2015,200,214,
16732,PROTECTIVE LIFE INS,141.4,207,
16732,CRESTVIEW APTS  APR  RENT 2015,324,239,
16732,Vickie Breezer prepare taxes 2014,70,214,
16732,BANK OF THE WEST   MAY   2015 fee,2.5,183,
16732,CHARTERS           MAY 2015,46.08,233,
16732,Xcel Energy   APR  2015,27.29,232,
16732,ANN CONRAD TAX REFUNDS,697,214,
16732,ANN CONRAD,160.97,214,
16732,Kathie Rogich APR    2015  GF,77,193,
16732,ANN CONRAD PN APR  2015,200,214,
16732,ANN CONRAD,160.95,214,
16732,PATRICK THOMAS ANGENCY,225,214,
16732,Kathie Rogich MAR 2015 GF,77,193,
16732,ANN CONRAD PN  MAR  2015,200,214,
16732,Acentek   MAR  2015,56.92,233,
16732,DHS-MA-EPD MAR 2015   #8540,120,206,
16732,DHS-MA-EPD MAR 2015   #8540,120,206,
16732,CRESTVIEW APTS  MAR  2015 RENT,324,239,
16732,Bank of the West  APR 2015  fee,2.5,183,
16732,CHARTERS           APR  2015,41.61,233,
16732,SHOPKO,8,214,
16732,CHARTERS           MAR 2015,41.61,233,
16732,Xcel Energy   MAR 2015,27.02,232,
16732,ANN CONRAD,160.97,214,
16732,DR. PETRA ZEHRAN,155,209,
16732,ANN CONRAD PN  MAR  2015,200,214,
16732,ANN CONRAD,60,214,
16732,ANN CONRAD,160.95,214,
16732,Acentek   FEB   2014,35.76,233,
16732,ANN CONRAD PN  FEB  2015,200,214,
16732,Kathie Rogich FEB 2015  GF,77,193,
16732,CRESTVIEW APTS  FEB 2015  RENT,324,239,
16732,Kathie Rogich JAN 2015 GF,77,193,
16732,Bank of the West  MAR 2015 FEE,2.5,183,
23806,Excel Energy,65.38,232,
16732,SHOPKO,20.75,214,
23806,Bank of America,0.8,194,
23806,Knowlands,13.74,197,
16732,CHARTERS            FEB 2015,41.61,233,
23806,Sarah Hinz,300.94,193,
22208,Savers,53.67,199,
16732,Xcel Energy   FEB 2015,29.33,232,
23806,Comcast,89.95,233,
22208,Savers ,25.52,199,
22208,Donut Connection (kaleidoscopes),11.45,199,
23806,Wells Fargo Home Equity Debt - Payment,126.87,247,
16732,ANN CONRAD,160.97,214,
22208,Office Max (drawing supplies),37.06,199,
16732,ANN CONRAD  VACATION,500,214,
16732,ANN CONRAD PN  JAN 2015,200,214,
16732,ANN CONRAD,143.19,214,
16732,PROTECTIVE LIFE INS,141.4,207,
22208,Dollar Tree,5.38,199,
22208,Dollar Tree,9.69,199,
23806,Cash,200,214,
16732,ANN CONRAD PN  JAN 2015,200,214,
22208,Daisy Mae Consignment,12.38,199,
16693,BCBS health insurance,109,206,
22208,Daisy Mae Consignment,38.54,199,
16732,DHS-MA-EPD JAN 2015   #8540,120,206,
22208,Daisy Mae Consignment,24.02,199,
16732,Acentek  JAN    2015,37.91,233,
22208,Daisy Mae Consignment,3.74,199,
16732,CRESTVIEW APTS  JAN 2015 RENT,324,239,
22208,Daisy Mae Consignment,77.48,199,
16693,BCBS health insurance,109,206,
16693,BCBS health insurance,109,206,
16693,Fleet Farm misc bike light,48.67,229,
16732,Xcel Energy   JAN 2015,34.07,232,
16693,Walmart groceries,573.11,197,
16732,CHARTERS  JAN 2015,41.61,233,
16693,BCBS health insurance,109,206,
16732,Bank of the West  FEB 2015  fee,2.5,183,
23806,Bank of America Debt - Payment,200,247,
16693,BCBS health insurance,109,206,
16732,ANN CONRAD PN DEC 2014,200,214,
16732,ANN CONRAD,160.77,214,
16732,ANN CONRAD PN  JAN 2015,200,214,
16732,DHS-MA-EPD,120,206,
16732,PROGRESSIVE CAR INS DEC  2014,68.5,204,
16732,ANN CONRAD,160.76,214,
16732,Acentek   DEC  2014,39.82,233,
16732,PROGRESSIVE CAR INS  DEC  2014,68.5,204,
16732,ANN CONRAD   ,160.76,214,
16732,Kathie Rogich DEC 2014 GF,67.2,193,
15947,Bank charge,5,183,
16732,CRESTVIEW APTS  DEC 2014 RENT,324,239,
15947,Target,15.2,214,
15002,Transfer From,5000,176,
15947,Target,18.98,214,
16732,Postmaster,9.8,213,
15947,Target,37.64,214,
15002,Transfer From,7300,176,
16732,CHARTERS            DEC 2014,41.61,233,
15947,Jenn Tate reimbursement,11.7,196,
16732,Xcel Energy   DEC 2014,28.88,232,
15947,Jenn Tate reimbursement,13.29,187,
15002,Transfer From,3200,176,
16732,Bank of the West  JAN 2015 Fee,2.5,183,
15947,Cash,25,214,
15947,Ali Bossman reimbursement,26.25,214,
15947,Jenn Tate reimbursement,7.5,214,
15947,Lynn Ennis,400,239,
15947,JC Penneys,85,187,
16732, CHARTERS,41.61,233,
15947,Jenn Tate - reimbursement,5.36,196,
16732,Xcel Energy   NOV 2014,29.14,232,
15947,Jenn Tate - reimbursement,10.46,196,
15947,Bank Charge,5,183,
34367,Champps,53.6,196,
15947,Target,31.6,214,
15947,Target,49.46,214,
15947,Target,25.63,214,
34367,Target,12.53,197,
16732,ANN CONRAD PN DEC 2014,200,214,
34367,Bath & Body,28.39,199,
16732,ANN CONRAD ,160.77,214,
15947,Cash,50,214,
34367,Dicks,10.7,199,
15947,Lynn Ennis - reimbursement,36.34,214,
34367,Target,3.62,197,
16693,BCBS health insurance,109,206,
15947,Jen Tate - reimbursement - El Tequila,14.03,196,
16732,Acentek   NOV    2014,35.02,233,
15947,Lynn Ennis,400,239,
15947,Bank Charge,5,183,
16732,DHS-MA-EPD NOV 2014   #8540,120,206,
15947,Walmart,8.53,214,
15947,Petsmart,10.11,217,
16732,ANN CONRAD PN NOV 2014,200,214,
15002,Transfer From,7298.17,176,
15947,Barclay Card - entertainment,75,189,
16693,BCBS health insurance,218,206,
16732,Bank of the West DEC 2014 FEE,2.5,183,
15947,Cash,50,214,
15947,Ali Bossman - reimbursement nails,17,214,
15947,Lynn Ennis,400,239,
15947,Bank charge,5,183,
15947,Walmart,14.14,214,
15947,Target,31.34,214,
15947,Walmart,39.94,214,
15947,Walmart,95.61,214,
15947,Faribault Public,90,214,
15947,Walmart,31.33,214,
15947,Lynn Ennis - reimbursement,18.18,214,
22208,Aldi (water games),5.36,199,
15947,Ali Bossman - reimbursement,20,214,
15947,Taco Bell,7.88,196,
22208,Claires,10.74,199,
15947,EPIC,13,196,
15947,Lynn Ennis,400,239,
15947,Ali Bossman - reimbursement,15.58,196,
22208,Claires,5.38,199,
15947,Bank Charge,5,183,
15947,Target,34.64,214,
16693,Walmart wrk pants,18.91,187,
15947,Target,56.17,214,
22208,Walmart (gift cards),103,199,
15947,Target,54.79,214,
15947,Target,37.73,214,
15947,Ali Bossman,17,214,
22208,Cherished Antiques Furniture,2.14,199,
15947,Ali Bossman - reimbursement,17.29,214,
15947,Petsmart,18.49,217,
22208,Erdmanns (nasal decongestant),2.81,214,
15947,Emily D. reimbusement - hair,92.94,214,
15947,Lynn Ennis - reimbursement bibs,68.63,214,
22208,Target,9.99,214,
15947,Emily D. reimbursement Pizza,8.26,196,
16939,Omnicare mn,2.2,206,
15947,Ali Bossman - reimbursement,4.25,196,
22208,Target,29.96,214,
16693,"Lynne Neisse 1/2 utilities elec., TV, phone",144.34,233,
15947,Ali Bossman ,17,214,
22208,Target,29.96,214,
15947,Lynn Ennis,400,239,
22208,Target,29.95,214,
15947,Taco Bell,34.25,196,
16939,Quest,14.7,233,
15947,Ali Bossman,15,214,
16693,atm 1 month allowance,100,213,
22208,Target,20.94,214,
16693,Colonial Village,318.5,239,
22208,Target (hand warmer),10.54,214,
15947,Bank Charge,5,183,
22208,Target (make-up),34.16,214,
16939,A-1 Movers,276,229,
15947,Walmart,49.77,214,
16693,"Lynne Neisse 1/2 utilities elec., TV, phone",127.59,233,
15947,Walmart,26.03,214,
15947,Petsmart,11.58,217,
10251,Le Sueur County Public Health- $ on past due bill,40,214,
22208,Dodge Center Library,8,186,
16907,AARP,15,222,
15947,Walmart,13.86,214,
15947,Walmart,38.77,214,
22208,Epilepsy Foundation of MN,35,186,
16693,Colonial Village,318.5,239,
16907,Brad,103,214,
34305,Pat Ramstad,50,214,
16693,atm 1 month allowance,100,213,
34305,Pat Ramstad,50,197,
22208,American Heart Association,10,186,
34305,Patricia Ramstad,50,214,
16939,U-Haul,26.69,229,
34305,Patricia Ramstad,50,197,
10251,Thrifty White - prescriptions,4,240,
16693,Fleet Farm  batteries garage door opener,8.58,202,
22208,Zachary Peterson (Kavon drum lessons),235,188,
17494,Bank,2,183,
17494,Nancy Bloom,77,214,
17494,Media Comm,136.08,233,
17494,John French,100,194,
17494,New Vistas,216,239,
17494,Nancy Bloom,20,214,
17494,Wal-Mart,156.27,197,
17494,Bank,2,183,
17494,Nancy Bloom,82,214,
17494,New Vistas,216,239,
17494,Media Comm,136.08,233,
17494,Tim Bloom,50,197,
17494,Nancy Bloom,70,214,
17494,Bank,2,183,
17494,Wal-Mart,168.89,197,
17494,Easter Seals,5,186,
17494,Nancy Bloom,40,214,
17494,New Vistas,216,239,
17494,Postmaster,9.8,194,
17494,Media Comm,136,233,
17494,Nancy Bloom,65,214,
17494,Bank,2,183,
17494,Nancy Bloom,20,214,
17494,Wal-Mart,217.05,197,
17494,Nancy Bloom,80,214,
17494,Cara Bressler,47.84,214,
17494,Media Comm,136.02,233,
17494,Wal-Mart,188.49,197,
17494,Bank,2,183,
17494,New Vistas,216,239,
17494,Nancy Bloom,77,214,
17494,Nancy Bloom,40,214,
17494,New Vistas,216,239,
17494,Media Comm,144.58,233,
17494,Snyder Drug,1.2,240,
17494,Wal-Mart,21.26,197,
17494,Nancy Bloom,81,214,
17494,Snyder Drug,11.77,240,
17494,Wal-Mart,206.47,197,
17494,Nancy Bloom,7,214,
17494,Bank,2,183,
17494,Jennifer Barron,21.88,197,
17494,Media Comm,136.08,233,
17494,Nancy Bloom,97,214,
17494,New Vistas,216,239,
17494,Wal-Mart,221.01,197,
17494,Bank,2,183,
17494,Nancy Bloom,70,214,
17494,Nancy Bloom,30,214,
17494,Nancy Bloom,10,214,
17494,New Vistas,216,239,
17494,Mackenzie Driscoll,21,199,
17494,Media Comm,135.13,233,
17494,Wal-Mart,197.41,197,
17494,Nancy Bloom,60,214,
17494,Bank,2,183,
17494,Nancy Bloom,30,214,
17494,New Vistas,216,239,
17494,Nancy Bloom,75,214,
17494,Jennifer Barron,10,197,
17494,Snyder Drug,4.8,240,
17494,Media Comm,145.68,233,
17494,Tyler Health Care,66,210,
17494,Nancy Bloom,25,214,
17494,Petersen Law Office,150,191,
17494,Cara Bressler,17,214,
17494,Nancy Bloom,60,214,
17494,Jennifer Barron,36.92,197,
17494,Media Comm,133.84,233,
17494,Bank,2,183,
17494,Wal-Mart,139.23,197,
17494,Nancy Bloom,27,214,
17494,New Vistas,212,239,
17494,Nancy Bloom,70,214,
17494,Cara Bressler,4.8,197,
17494,Cara Bressler,186.31,197,
17494,Tyler Health Care,82.5,196,
17494,Bank,2,183,
17494,Nancy Bloom,50,214,
17494,Cara Bressler,38.9,197,
17494,Cara Bressler,19.12,197,
17494,Media Comm,133.77,233,
17494,Nancy Bloom,20,214,
17494,Tyler Health Care,110,196,
17494,Nancy Bloom,70,214,
17494,New Vistas,212,239,
17494,Bank,2,183,
17494,Wal-Mart,181.35,197,
17494,Nancy Bloom,10,214,
17494,Jennifer Barron,15,197,
17494,New Vistas,212,239,
17494,Nancy Bloom,10,214,
17494,Nancy Bloom,50,214,
17494,Media Comm,133.77,233,
17494,Tyler Health Care,121,196,
17494,Christine Grooters,9,197,
17494,Nancy Bloom,8,214,
17494,Bank,2,183,
17494,Wal-Mart,177.73,197,
17494,Nancy Bloom,42,214,
17494,American Lung Association,5,186,
17494,New Vistas,212,239,
17494,Media Comm,133.75,233,
17494,US Postal Service,9.8,194,
17494,Tyler Health Care,88,196,
17494,Cara Bressler,19.94,197,
17494,Nancy Bloom,10,214,
17494,Cara Bressler,3,197,
17494,Wal-Mart,111.25,197,
17494,Nancy Bloom,50,214,
17494,New Vistas,212,239,
17494,Bank,2,183,
34305,Merwin Pharmacy,773.88,240,
34305,Mid Continent,41.59,233,
22208,Zachary Peterson (Kavon -5 drum les.),100,188,
16693,"Lynne Neisse 1/2 utilities elec., TV, phone",117.5,233,
34305,GracePointe Crossing,1707,210,
16693,Colonial Village had .50 credit,318,239,
34305,GracePointe Crossing,88,221,
34305,GracePoint Crossing,232.5,196,
16693,Target bike mirror,8.58,229,
34305,GracePointe Crossing,2522,239,
22208,Zachary Peterson,70,188,
16693,Central Lakes Cycle bike bag,64.11,229,
34305,Allina HEalth Emergency,227.7,208,
34305,tessneer Law Office,167.5,191,
22208,Zachary Peterson (Kavon - drum),25,250,
16693,Central lakes Cycle new Trek bike,453.11,229,
22208,Apold Music (Kavon - drum),15,188,
16693,Central Lakes Cycle bike basket,52.36,229,
16693,"Lynne Neisse 1/2 utilities elec., TV, phone",112.69,233,
22208,Apold Music (Kavon-drum),15,188,
16693,Colonial Village had a credit .50,318,239,
16939,Edgewood Management,645,239,
22208,Apold Music (Kavon - drum),15,188,
16693,atm 1 month allowance,100,213,
16693,"Lynne Neisse 1/2 utilities elec., TV, phone",61.89,233,
22208,Anytime Fitness (5 additional classes),60,188,
16693,Colonial Village had $12.50 credit for extending lease,296.5,239,
22208,Anytime Fitness,42.75,188,
22208,Anytime Fitness,42.75,188,
16693,atm 1 month allowance,100,213,
22208,Anytime Fitness,42.75,188,
16693,"Lynne Neisse 1/2 utilities elec., TV, phone",159.3,233,
22208,Anytime Fitness,42.75,188,
21842,Chandler Hassing - PN $,60,214,
22208,Anytime Fitness,42.75,188,
22208,Anytime Fitness,42.75,188,
21842,Furniture Outlet,372.72,203,
22208,Anytime Fitness,42.75,188,
22208,Anytime Fitness,42.75,188,
22208,Anytime Fitness,42.75,188,
22208,Anytime Fitness,42.75,188,
34305,Pat Ramstad,50,214,
34305,Pat Ramstad,50,197,
16693,Colonial Village,318.5,239,
22208,Anytime Fitness,42.75,188,
34305,Merwin Pharmacy,465.5,240,
22208,Anytime Fitness,42.75,188,
16693,atm 1 month allowance,100,213,
34305,Pat Ramstad,50,214,
34305,Pat Ramstad,50,197,
16693,"Lynne Neisse 1/2 utilities elec., TV, phonr",111.63,233,
16907,JPD,507.5,193,
34305,Mid Continent,41.59,233,
34305,State Farm Insurance,658,184,
16907,Carol Hackbarth,173.85,214,
22208,Sunshine Foods ,18.42,197,
16693,Colonial Village pay Lynne's rent increase,9.5,239,
34305,Tessneer law Office,729,191,
16907,Brad,500,214,
16907,Horizon,2428,185,
34305,GracePointe Crossing,165,196,
34305,GracePointe Crossing,1615,210,
34305,GracePointe Crossing,119.08,221,
22208,Sunshine Foods ,7.03,197,
15002,Error on Inventory,45006.91,179,
34305,GracePointe Crossing,2522,239,
22208,Sunshine Foods,3.05,197,
16693,Colonial Village ,318.5,239,
34305,Pat Ramstad,50,214,
34305,Pat Ramstad,50,197,
22208,Sunshine Foods ,4.59,197,
16693,atm 1 month allowance,100,213,
34305,Merwin Pharmacy,398.85,240,
16693,"Lynne Neisse 1/2 utilities elec., TV, phone",114.78,233,
22208,Sunshine Foods ,13.96,197,
34305,Blue Cross Blue Shield,648,206,
34305,Pat Ramstad,50,214,
16907,JPD,770,193,
16939,Edgewood Management,535.71,239,
22208,Sunshine Foods ,81.26,197,
34305,Pat Ramstad,50,197,
16693,SunMart,17.38,197,
34305,Mid Continent,41.59,233,
16907,Brad,500,214,
22208,Wagner Foods,0.72,197,
34305,pat Ramstad,50,214,
16693,Colonial Village,309,239,
16907,Horizon,2428,185,
34305,Pat Ramstad,50,197,
16939,Walmart,19.22,214,
16693,Fleet Farm winter boots,69.9,187,
34305,GracePointe Crossing,172.5,196,
16907,JPD,525,193,
22208,Trader Joes,55.9,197,
34305,GracePointe Crossing,2359.94,210,
16693,Colonial Village,309,239,
16907,Carol Hackbarth,169.29,214,
34305,GracePointe Crossing,2522,239,
22208,Trader Joes,6.18,197,
16693,atm 1 month allowance,100,213,
16939,Walmart,73.42,214,
16907,Brad,500,214,
16907,Horizon,2428,185,
22208,Trader Joes,25.25,197,
16693,"Lynne Neisse 1/2 utilities elec.,TV, phone",108.74,233,
22208,Nicollet Mart,3.2,197,
17002,Waste Management,21.68,231,
17002,Walmart,49.4,214,
17002,Wal-Mart,4.27,214,
17002,Wal-Mart,6.44,214,
17002,Wal-Mart,93.97,214,
17002,Wal-Mart,500,214,
17002,Usps,9.8,213,
17002,Usps,19.6,213,
17002,Usps,19.6,213,
17002,Us Bank,5.95,213,
17002,Us Bank,10.67,214,
17002,Us Bank,10.67,214,
17002,Us Bank,152.77,214,
17002,Steir Transportation,155,208,
17002,Shopko,5.33,214,
17002,Owatonna Shoe,211,214,
17002,on Site Podiatry,4.85,210,
17002,Monuments by Miller,3092.69,198,
17002,Monthly Service Fee,2,183,
17002,Monthly Service Fee,5,183,
17002,Monthly Service Fee,5,183,
17002,Monthly Service Fee,5,183,
17002,Monthly Check Return Charge,2,183,
17002,Monthly Check Return Charge,2,183,
17002,Mike Nelson Appraisals,325,195,
17002,Mala Strana HCC,75,214,
17002,Mala Strana HCC,75,214,
17002,Mala Strana HCC,300,214,
17002,Mala Strana HCC,802,185,
17002,Mala Strana HCC,802,185,
17002,Mala Strana HCC,906,239,
17002,Mala Strana HCC,907,185,
17002,Mala Strana HCC,907,185,
17002,Mala Strana HCC,907,185,
17002,Mala Strana HCC,907,239,
17002,Mala Strana HCC,951,185,
17002,Mala Strana HCC,1000,185,
17002,Mala Strana HCC,1071.72,185,
17002,Mala Strana HCC,1115,185,
17002,Mala Strana HCC,3947.3,185,
17002,Mala Strana HCC,32552.8,239,
17002,Karen Chambers,25,214,
17002,J. Scott Braden,2700.36,191,
17002,Gilbbert Barlage,75,203,
17002,Eyewear Specialists,42,210,
17002,Evans & Associates,35,190,
17002,Edina Eye Physicians and surgeons,34.19,210,
17002,Dolores Prokes,100,214,
17002,Dick Trempe,100,202,
17002,city of montgomery,59.94,234,
17002,city of montgomery,93.53,234,
17002,city of montgomery,118.63,234,
17002,Centerpoint Energy,10.81,232,
17002,Centerpoint Energy,26.93,232,
17002,Centerpoint Energy,200,232,
17002,Center Point Energy,12.71,232,
17002,Center Point Energy,42.94,232,
17002,Center Point Energy,150,232,
17002,Center Point Energy,173.81,232,
17002,Center Point Energy,183.16,232,
17002,Alternative Resolutions,336.28,193,
17002,Alt Res,715.15,193,
17002,Alt Res,5388.8,193,
17002,Alliant Energy,120.51,232,
17002,Alliant Energy,124.22,232,
17002,Alliant Energy,126.45,232,
17002,Alliant,80.59,232,
22208,Kwik Trip,2.22,197,
16907,JPD,490,193,
22208,Kwik Trip,2.13,197,
16939,cash,100,193,
16693,Target  work shirts,50.32,187,
16907,Carol Hackbarth,138.51,214,
16693,Fleet Farm  work pants,44.97,187,
22208,Kwik Trip,4.69,197,
16907,Red's Auto,100,214,
25329,Lawndale,489,185,
16907,Brad,500,214,
16693,Colonial Village,309,239,
22208,Kwik Trip,20.35,197,
25329,Lawndale,489,185,
16907,Horizon,2295,185,
25329,Lawndale,489,185,
16693,Dale Norgren 50 lbs hamberger,200,197,
22208,Kwik Trip,9.33,197,
25329,Lawndale,489,185,
22208,Kwik Trip,6.99,197,
22208,Kwik Trip,3.18,197,
16907,Carol Hackbarth,182.97,214,
22208,Kwik Trip,22.8,197,
25329,Lawndale,489,185,
16693,atm cash xmas gifts,100,199,
22208,Kwik Trip,37.7,197,
16907,JPD,385,193,
16693,atm cash 1 month allowance,100,213,
22208,Kwik Trip,12.85,197,
22208,Kwik Trip,29.5,197,
22208,Kwik Trip,16.26,197,
16907,Brad,500,214,
22208,Kwik Trip,43.28,197,
31090,Comfort First - R&B,4620,185,
16907,Horizon,2295,185,
16693,Colonial Village,309,239,
31090,BCBS of MN -Ins. premium,155.9,206,
22208,Kwik Trip,6.39,197,
31090,Merwin Pharmacy - Medical RX,311.21,240,
22208,Kwik Trip,6.99,180,
16907,Carol Hackbarth,140.79,214,
22208,Kwik Trip,5.47,180,
16907,JPD,383,193,
22208,Kwik Trip,10.71,180,
16907,Brad,500,214,
16693,Colonial Village,309,239,
16907,Horizon,2295,185,
16907,Carol Hackbarth,140.79,214,
16907,JPD,437.5,193,
16939,Perkins,30,196,
16907,Brad,500,214,
16907,Horizon,2295,185,
16939,Quest,3.95,233,
